ts_code,name,start_date,end_date,start_price,end_price,total_return,annual_return,max_drawdown,trading_days
601398.SH,工商银行,20180330,20260330,6.09,7.57,24.30213464696224,2.75662304974007,-34.935897435897445,1939
601288.SH,农业银行,20180330,20260330,3.91,6.49,65.98465473145781,6.538969666132588,-31.82957393483709,1939
601318.SH,中国平安,20180330,20260330,65.31,56.33,-13.749808605114078,-1.831985231815858,-61.287213536089105,1939
601628.SH,中国人寿,20180330,20260330,25.41,36.68,44.352617079889804,4.695516252405296,-53.5796766743649,1939
601390.SH,中国中铁,20180330,20260330,7.37,5.47,-25.780189959294443,-3.6581503924836833,-46.021505376344095,1865
601668.SH,中国建筑,20180330,20260330,8.66,4.97,-42.60969976905312,-6.705764098720158,-49.08045977011494,1939
601857.SH,中国石油,20180330,20260330,7.64,12.44,62.82722513089005,6.283507363027652,-56.59163987138264,1939
600028.SH,中国石化,20180330,20260330,6.48,5.97,-7.87037037037038,-1.019437931131173,-47.7792732166891,1939
600519.SH,贵州茅台,20180330,20260330,683.62,1420.0,107.71773792457797,9.568116993724573,-51.51864667435602,1939
000858.SZ,五粮液,20180330,20260330,66.36,103.46,55.907172995780584,5.708098834814068,-70.897212543554,1939
000538.SZ,云南白药,20180330,20260330,99.0,54.75,-44.696969696969695,-7.1368061909871106,-71.28731343283582,1888
600276.SH,恒瑞医药,20180330,20260330,87.01,55.76,-35.91541202160672,-5.410223445218588,-75.88035822971916,1939
002415.SZ,海康威视,20180330,20260330,41.3,30.53,-26.077481840193695,-3.7064730172590266,-63.69426751592356,1937
300750.SZ,宁德时代,20180611,20260330,36.2,413.0,1040.8839779005523,36.62853160224018,-79.5421511627907,1892
000002.SZ,万科Ａ,20180330,20260330,33.29,4.01,-87.95434064283569,-23.24550437238232,-88.07966706302022,1939
600048.SH,保利发展,20180330,20260330,13.47,5.84,-56.64439495174462,-9.919527313062936,-69.77225672877847,1939
601111.SH,中国国航,20180330,20260330,11.85,6.85,-42.19409282700422,-6.62157861926519,-49.09688013136289,1938
600026.SH,中远海能,20180330,20260330,5.4,22.6,318.51851851851853,19.59536123174459,-51.136363636363626,1937
601369.SH,陕鼓动力,20180330,20260330,7.82,10.18,30.17902813299232,3.3517008378098234,-55.623306233062344,1939
000425.SZ,徐工机械,20180330,20260330,3.9,9.93,154.61538461538458,12.392046761142584,-46.901579586877276,1916
002042.SZ,华孚时尚,20180330,20260330,11.69,4.43,-62.104362703165094,-11.422452430491614,-80.28776978417265,1939
600307.SH,酒钢宏兴,20180330,20260330,2.4,2.12,-11.666666666666659,-1.5386973090377953,-67.33524355300861,1939
000625.SZ,长安汽车,20180330,20260330,11.22,9.95,-11.319073083778978,-1.4903495616224838,-67.43432889528607,1939
002594.SZ,比亚迪,20180330,20260330,56.3,106.05,88.36589698046181,8.236884936449984,-78.50617283950618,1939
600036.SH,招商银行,20180330,20260330,29.09,39.48,35.71674114816087,3.891299325336095,-54.15384615384615,1939
601328.SH,交通银行,20180330,20260330,6.18,6.97,12.7831715210356,1.5150745462216175,-36.40416047548291,1939
