ts_code,name,start_date,end_date,start_price,end_price,total_return,annual_return,max_drawdown,trading_days
000999.SZ,华润三九,2018-03-30,2026-03-30,11.8,28.3,139.83050847457625,11.554746470568755,-46.31360332294912,1939
600085.SH,同仁堂,2018-03-30,2026-03-30,31.01,28.19,-9.093840696549501,-1.1847067761907026,-53.711001642036116,1939
000733.SZ,振华科技,2018-03-30,2026-03-30,10.55,45.84,334.5023696682465,20.15698396571548,-76.36721598366633,1939
000786.SZ,北新建材,2018-03-30,2026-03-30,20.72,26.02,25.579150579150582,2.8879922819537107,-66.32633403968406,1939
000902.SZ,新洋丰,2018-03-30,2026-03-30,7.92,16.03,102.39898989898992,9.21342890685768,-60.958605664488005,1939
000739.SZ,普洛药业,2018-03-30,2026-03-30,4.23,17.88,322.69503546099287,19.743898507706636,-74.83692925238334,1939
002001.SZ,新和成,2018-03-30,2026-03-30,9.61,36.0,274.6097814776275,17.949848973218472,-53.27926657263752,1939
000683.SZ,博源化工,2018-03-30,2026-03-30,1.83,8.47,362.8415300546448,21.109731158075174,-71.53846153846153,1939
000830.SZ,鲁西化工,2018-03-30,2026-03-30,12.63,16.9,33.80839271575612,3.7075606743106393,-79.22705314009661,1929
600064.SH,南京高科,2018-03-30,2026-03-30,3.98,8.37,110.30150753768841,9.737559684749385,-53.753026634382564,1939
000680.SZ,山推股份,2018-03-30,2026-03-30,3.96,11.6,192.92929292929293,14.378751160987724,-46.40657084188912,1939
600031.SH,三一重工,2018-03-30,2026-03-30,4.92,18.87,283.5365853658537,18.29757707676358,-74.23085315295658,1939
000932.SZ,华菱钢铁,2018-03-30,2026-03-30,4.08,5.23,28.186274509803933,3.1526027836170645,-60.59880239520958,1933
000672.SZ,上峰水泥,2018-03-30,2026-03-30,6.27,13.02,107.65550239234452,9.564012912289233,-76.1904761904762,1939
000983.SZ,山西焦煤,2018-03-30,2026-03-30,2.54,6.99,175.1968503937008,13.489434602961792,-89.14473684210526,1929
000661.SZ,长春高新,2018-03-30,2026-03-30,80.86,86.44,6.900816225575065,0.837629490887104,-85.04222426866782,1930
000568.SZ,泸州老窖,2018-03-30,2026-03-30,30.13,105.3,249.48556256223037,16.93072836924532,-76.41770401106501,1939
000858.SZ,五粮液,2018-03-30,2026-03-30,38.78,103.46,166.7870036101083,13.050004421297444,-69.14166821936524,1939
000429.SZ,粤高速Ａ,2018-03-30,2026-03-30,4.12,13.03,216.2621359223301,15.479767269380119,-41.96277495769881,1939
600012.SH,皖通高速,2018-03-30,2026-03-30,6.29,15.33,143.7201907790143,11.779313663736769,-68.68044515103338,1929
000807.SZ,云铝股份,2018-03-30,2026-03-30,6.37,31.46,393.87755102040813,22.096273977207993,-69.85583224115335,1939
000895.SZ,双汇发展,2018-03-30,2026-03-30,13.32,28.42,113.36336336336336,9.936012630983138,-68.92274982282069,1924
000975.SZ,山金国际,2018-03-30,2026-03-30,5.49,29.87,444.08014571949,23.582751346984775,-53.055141579731746,1924
