code,name,industry,price,pe,pb
00902,HUANENG POWER,其他,5.97,5.824,1.192
06963,SUNSHINE INS,其他,3.61,5.947,0.644
02666,UNI MEDICAL,医药,5.81,4.898,0.548
00013,HUTCHMED,医药,23.02,5.647,2.084
09890,TANWAN,消费,15.21,4.833,1.716
00116,CHOW SANG SANG,消费,13.15,5.142,0.61
00142,FIRST PACIFIC,综合,5.55,5.077,0.698
00267,CITIC,综合,11.76,5.261,0.394
00373,ALLIED GROUP,房地产,2.74,4.328,0.211
00258,TOMSON GROUP,房地产,2.27,6.485,0.391
02510,TS LINES,运输,8.03,5.224,0.81
00293,CATHAY PAC AIR,运输,12.01,6.743,1.214
01800,CHINA COMM CONS,基建,4.73,2.987,0.239
01186,CHINA RAIL CONS,基建,5.37,3.039,0.244
00819,TIANNENG POWER,能源,7.33,5.187,0.43
01811,CGN NEW ENERGY,能源,2.6,5.79,0.804
03698,HUISHANG BANK,银行,4.6,3.492,0.39
06818,CEB BANK,银行,3.23,4.238,0.35
00966,CHINA TAIPING,保险,19.78,2.627,0.747
01336,NCI,保险,44.98,3.493,1.136
01114,BRILLIANCE CHI,汽车,2.65,6.077,0.574
02598,LIANLIAN,科技,5.87,3.517,1.902
01478,Q TECH,科技,7.46,5.366,1.249
02580,AUX ELECTRIC,工业,9.53,6.116,1.372
02678,TEXHONG INTL GP,纺织,5.96,5.408,0.482
03311,CHINA STATE CON,建筑,8.43,4.683,0.571
