code,name,last_price,pe_ratio,pb_ratio,total_score,weight
HK.00881,ZHONGSHENG HLDG,7.93,5.412,0.359,31.1066,0.12522373924811248
HK.03311,CHINA STATE CON,8.48,4.785,0.595,30.929,0.12072511342036478
HK.00966,CHINA TAIPING,20.62,2.738,0.778,30.5996,0.12582627884374772
HK.06963,SUNSHINE INS,3.63,5.98,0.647,30.247399999999995,0.08719596897806905
HK.00392,BEIJING ENT,30.7,6.98,0.4,30.092,0.0778082826152171
HK.02628,CHINA LIFE,25.58,4.238,1.097,30.0254,0.08621843775054917
HK.02660,ZENGAME,2.38,6.397,0.861,29.612,0.059324440226931396
HK.00855,CHINA WATER,4.84,7.322,0.572,29.5772,0.05548524544237455
HK.01336,NCI,46.78,5.152,1.325,29.5238,0.0602000911142216
HK.02601,CPIC,31.78,6.296,0.982,29.4548,0.053057435844635174
HK.00586,CONCH VENTURE,11.72,8.449,0.384,29.2394,0.039167711252665285
HK.01908,C&D INTL GROUP,12.88,7.139,0.865,29.1596,0.038455325426834865
HK.01600,TIAN LUN GAS,2.84,8.58,0.425,29.087,0.03258026291774617
HK.02877,SHINEWAY PHARM,8.63,7.866,0.833,28.781,0.02106919473540677
HK.01126,DREAM INT'L,7.46,6.837,1.252,28.6442,0.017662472183123848
