code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
SH.601963,Bank Of Chongqing,10.48,6.441,0.663,23624207,1.74,41.256
SH.601825,Shanghai Rural Commercial Bank,8.98,7.048,0.687,28363030,1.512,40.7128
SH.601601,China Pacific Insurance,37.09,7.937,1.255,52489425,1.671,38.638400000000004
SH.601628,China Life Insurance,37.74,6.923,1.792,44263850,2.085,38.1608
SZ.200539,Guangdong Electric Power Development,2.15,11.025,0.44,6475786,1.633,38.124
SH.600023,Zhejiang Zheneng Electric Power,5.66,9.792,1.011,197304877,2.268,37.739999999999995
SH.601006,Daqin Railway,5.4,12.026,0.66,339549599,1.866,36.7952
SH.600874,Tianjin Capital Environmental Protection Group,6.29,11.457,0.962,31666404,1.653,36.5256
SZ.002807,Jiangsu Jiangyin Rural Commercial Bank,4.59,5.543,0.597,53522658,1.05,36.1328
SH.605377,Hangzhou Huawang New Material Technology,9.27,11.009,1.343,25245526,2.853,35.9696
SH.603071,ZJMI Environmental Energy,15.06,11.374,1.504,12627989,2.337,35.2912
SH.601077,Chongqing Rural Commercial Bank,7.15,6.694,0.619,58130811,1.085,35.1592
SZ.000596,Anhui Gujing Distillery,102.82,9.851,2.179,4283665,1.73,34.8896
SH.601665,"Qilu Bank Co., Ltd.",5.81,7.172,0.754,64584535,1.006,34.4528
SZ.300761,Jiangsu Lihua Foods Group,20.49,11.276,1.902,12928496,1.643,34.4144
SH.600377,Jiangsu Expressway,12.34,12.566,1.543,19316571,1.77,34.244
SZ.002966,Bank Of Suzhou,8.41,7.416,0.763,42011534,1.051,34.236000000000004
SH.603611,Noblelift Intelligent Equipment,20.72,12.436,1.681,7935049,1.782,34.0168
SH.600428,Cosco Shipping Specialized Carriers,8.79,13.543,1.43,100143568,2.091,33.7336
SH.600704,Wuchan Zhongda Group,5.15,8.655,0.659,78290877,1.078,33.4944
SH.600398,"Hla Group Corp.,",6.16,13.719,1.642,49086336,1.525,33.084
SH.601318,Ping An Insurance,56.8,8.123,1.042,101189634,1.33,33.000800000000005
SH.600971,Anhui Hengyuan Coal Industry and Electricity Power,7.96,8.913,0.797,29496882,1.091,32.9568
SH.601319,The People's Insurance,7.76,8.008,1.104,85238282,1.351,32.944
SH.600098,Guangzhou Development Group Incorporated,8.36,16.923,1.079,88302578,2.429,31.872000000000003
SH.603759,Haitian Water Group,10.08,15.272,1.634,19694723,1.822,31.8608
SH.600970,Sinoma International Engineering,10.23,9.368,1.168,23518449,1.073,31.7024
SZ.002991,Ganyuan Foods,49.25,12.202,2.763,892200,1.627,31.607200000000002
SZ.002608,"Jiangsu Guoxin Corp.,Ltd.",8.74,10.198,0.945,43035032,1.33,31.5736
SZ.000543,An Hui Wenergy,8.81,9.681,1.162,80702261,1.335,31.466400000000007
SZ.000690,Guangdong Baolihua New Energy Stock,5.76,17.777,0.998,546897437,2.828,31.383200000000002
SH.601997,Bank Of Guiyang,5.77,4.086,0.333,32916478,0.738,31.2008
SH.601186,China Railway Construction Corporation,6.96,4.254,0.346,68418915,0.851,31.169600000000003
SH.688036,"Shenzhen Transsion Holdings Co., Ltd.",55.52,11.518,3.174,17132714,1.648,31.168000000000003
SH.600016,"China Minsheng Banking Corp.,Ltd.",3.84,5.203,0.299,158081162,0.626,31.12
SH.600015,Hua Xia Bank,7.15,4.111,0.37,47380086,0.625,31.112000000000002
SH.601336,New China Life Insurance,63.75,7.582,2.02,22010909,1.157,31.086399999999998
SH.600011,"Huaneng Power International,Inc.",7.53,8.202,1.82,198827942,1.195,31.070400000000003
SH.601818,China Everbright Bank,3.3,4.674,0.396,233882953,0.774,31.049599999999998
SZ.000403,Pacific Shuanglin Bio-pharmacy,13.0,16.581,1.539,13763340,1.56,31.0416
SH.601688,Huatai,18.42,10.828,0.973,75279659,1.014,31.0024
SH.601169,Bank Of Beijing,5.47,4.476,0.416,109838176,0.667,31.001599999999996
SH.601668,China State Construction Engineering Corporation,4.93,4.409,0.422,161002801,0.545,30.9872
SH.601390,China Railway,5.39,4.769,0.424,207349186,0.78,30.982400000000002
SZ.000550,"Jiangling Motors Corporation,",17.46,9.803,1.338,4867800,1.155,30.9464
SH.600248,Shaanxi Construction Engineering Group Corporation,3.46,4.374,0.447,16915201,0.593,30.9272
SH.600795,GD Power Development,5.11,9.274,1.533,264573817,1.12,30.901600000000002
SZ.000001,Ping An Bank,10.94,4.979,0.47,82766409,0.765,30.872000000000003
SZ.000507,"Zhuhai Port Co.,Ltd.",5.89,18.522,0.989,51731438,1.553,30.8088
SZ.200625,Chongqing Changan Automobile,4.03,5.127,0.476,2373912,0.542,30.756
SH.601800,China Communications Construction,7.7,5.358,0.429,23344777,0.727,30.683999999999997
SH.601577,Bank Of Changsha,9.66,4.964,0.556,12943932,0.695,30.6656
SZ.000498,Shandong Hi-Speed Road & Bridge Group,5.78,3.863,0.567,15911700,0.73,30.639200000000002
SH.603323,Jiangsu Suzhou Rural Commercial Bank,4.95,5.134,0.534,25402584,0.689,30.611199999999997
SH.601166,Industrial Bank,18.88,5.175,0.521,58122160,0.761,30.6096
SH.600483,Fujian Funeng,10.97,10.915,1.162,40064058,1.059,30.479200000000006
SH.601916,China Zheshang Bank,3.1,5.605,0.479,127171746,0.718,30.3664
SZ.000027,Shenzhen Energy Group,7.87,18.693,1.143,152044335,2.005,30.302400000000002
SH.600027,Huadian Power International Corporation,5.33,10.855,1.299,257871972,1.284,30.1984
SH.601528,Zhejiang Shaoxing RuiFeng Rural Commercial Bank,5.58,5.699,0.567,17825440,0.866,30.080000000000002
SZ.002958,Qingdao Rural Commercial Bank Corporation,3.12,6.07,0.472,75934303,0.938,30.0112
SH.600908,Wuxi Rural Commercial Bank,5.91,5.76,0.586,18376033,0.806,29.9856
SH.601229,Bank of Shanghai,9.81,5.916,0.581,34245232,0.843,29.8728
SH.600642,Shenergy,9.28,11.513,1.236,39751839,1.233,29.823200000000003
SZ.002244,Hangzhou Binjiang Real Estate Group,9.91,12.114,1.037,22798599,1.062,29.82
SH.600928,Bank Of Xi'An,3.65,6.336,0.47,24019900,0.718,29.803200000000004
SZ.002839,Jiangsu Zhangjiagang Rural Commercial Bank,4.57,5.942,0.616,33310609,0.959,29.768
SH.601860,Jiangsu Zijin Rural Commercial Bank,2.82,6.365,0.518,63437800,0.879,29.664800000000003
