code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.00881,ZHONGSHENG HLDG,7.93,5.412,0.359,19398439,1.808,31.1066
HK.03311,CHINA STATE CON,8.48,4.785,0.595,7785515,1.556,30.929
HK.00966,CHINA TAIPING,20.62,2.738,0.778,23382316,2.082,30.5996
HK.06963,SUNSHINE INS,3.63,5.98,0.647,22549500,1.694,30.247399999999995
HK.00392,BEIJING ENT,30.7,6.98,0.4,2370862,2.59,30.092
HK.02628,CHINA LIFE,25.58,4.238,1.097,141571829,2.129,30.0254
HK.02660,ZENGAME,2.38,6.397,0.861,1606000,2.529,29.612000000000002
HK.00855,CHINA WATER,4.84,7.322,0.572,3647201,1.712,29.577199999999998
HK.01336,NCI,46.78,5.152,1.325,17287632,1.555,29.523799999999998
HK.02601,CPIC,31.78,6.296,0.982,29957690,1.506,29.454800000000002
HK.00586,CONCH VENTURE,11.72,8.449,0.384,19415460,2.367,29.2394
HK.01908,C&D INTL GROUP,12.88,7.139,0.865,15551600,2.687,29.159599999999998
HK.01600,TIAN LUN GAS,2.84,8.58,0.425,1131000,1.943,29.087
HK.02877,SHINEWAY PHARM,8.63,7.866,0.833,1432000,2.889,28.781
HK.01126,DREAM INT'L,7.46,6.837,1.252,2106500,1.849,28.6442
HK.00546,FUFENG GROUP,8.24,8.273,0.96,5152000,1.943,28.3082
HK.00956,CHINA SUNTIEN,4.14,9.241,0.703,15841000,1.764,28.189999999999998
HK.06889,DYNAM JAPAN,3.23,10.66,0.324,951400,1.526,28.0208
HK.03698,HUISHANG BANK,4.45,3.714,0.396,14855000,1.142,27.2872
HK.01963,BCQ,7.86,4.361,0.449,1664000,1.437,27.191799999999997
HK.00038,FIRST TRACTOR,8.6,9.706,1.125,6142598,1.512,27.1514
HK.00639,SHOUGANG RES,3.06,10.443,0.982,18308766,1.598,26.966600000000003
HK.00107,SICHUAN EXPRESS,5.62,10.976,0.934,9682000,1.748,26.7332
HK.03988,BANK OF CHINA,4.79,6.01,0.527,368141832,1.169,26.4454
HK.02156,C&D PROPERTY,2.64,9.361,1.673,2363000,2.734,26.371999999999996
HK.02510,TS LINES,8.48,5.517,0.855,4586000,1.141,26.1508
HK.09979,GREENTOWN MGMT,2.05,4.734,1.04,4830610,1.28,26.128
HK.01515,CR MEDICAL,2.84,6.713,0.507,4428500,1.017,26.0596
HK.00590,LUK FOOK HOLD,22.72,12.13,0.978,2867178,1.749,25.961599999999997
HK.01065,TIANJIN CAPITAL,4.23,6.957,0.584,984000,1.018,25.774599999999996
HK.00152,SHENZHEN INT'L,8.19,6.97,0.603,37402163,6.105,25.7326
HK.00517,COSCO SHIP INTL,6.32,12.015,1.166,8734000,2.975,25.6922
HK.00506,CHINA FOODS,3.87,11.348,1.417,6442300,1.752,25.6406
HK.02209,YESASIA HLDGS,3.02,8.531,2.419,798000,2.194,25.5272
HK.00552,CHINACOMSERVICE,4.2,7.473,0.57,11635057,1.145,25.490199999999998
HK.02688,ENN ENERGY,65.0,11.379,1.491,5302345,1.536,25.4888
HK.03320,CHINARES PHARMA,5.33,7.475,0.588,87707679,3.576,25.456599999999998
HK.00576,ZHEJIANGEXPRESS,6.93,7.042,0.775,11807242,1.379,25.379799999999996
HK.00811,XINHUA WINSHARE,9.82,7.263,0.738,1221050,1.033,25.3138
HK.03918,NAGACORP,3.94,7.229,0.932,6107056,1.293,24.984999999999996
HK.02649,ALSCO POOLING,3.74,7.791,0.754,964000,1.363,24.9682
HK.00874,BAIYUNSHAN PH,16.84,8.291,0.654,2864000,1.023,24.8482
HK.06886,HTSC,15.15,8.251,0.725,9967045,1.038,24.744400000000002
HK.00816,JINMAO SERVICES,2.49,6.552,1.301,1110000,1.075,24.727
HK.00548,SHENZHENEXPRESS,7.54,15.049,0.75,8278050,2.002,24.6206
HK.00293,CATHAY PAC AIR,12.34,6.928,1.248,16151365,1.141,24.596799999999998
HK.00799,IGG,3.6,7.1,1.192,12842471,6.33,24.594399999999997
HK.00257,EB ENVIRONMENT,5.68,8.888,0.668,21816095,1.125,24.4648
HK.06100,TONGDAO LIEPIN,2.8,9.824,0.435,993400,1.277,24.3226
HK.01066,WEIGAO GROUP,4.38,8.884,0.75,14852200,1.139,24.319599999999998
HK.01052,YUEXIUTRANSPORT,4.08,9.622,0.518,5666865,4.745,24.2944
HK.03888,KINGSOFT,23.22,14.649,1.128,26150214,2.178,24.1802
HK.00710,BOE VARITRONIX,4.11,9.426,0.676,1925000,1.228,24.127599999999997
HK.02678,TEXHONG INTL GP,6.48,9.938,0.552,823000,1.142,24.043599999999998
HK.00373,ALLIED GROUP,2.64,4.17,0.204,1088000,0.731,23.6328
HK.00882,TIANJIN DEV,2.55,4.99,0.212,546000,0.682,23.6184
HK.01186,CHINA RAIL CONS,5.26,2.976,0.239,4277000,0.572,23.5698
HK.01800,CHINA COMM CONS,4.8,3.032,0.242,11750745,0.879,23.5644
HK.02588,BOC AVIATION,81.9,9.278,1.067,1255672,1.345,23.5126
HK.01988,MINSHENG BANK,3.81,4.78,0.271,12565360,0.359,23.512199999999996
HK.00390,CHINA RAILWAY,4.12,3.377,0.294,18625000,0.399,23.4708
HK.00960,LONGFOR GROUP,8.05,5.047,0.313,13238470,0.909,23.408399999999997
HK.00995,ANHUIEXPRESSWAY,14.62,13.844,1.833,2858000,1.79,23.394199999999998
HK.06818,CEB BANK,3.27,4.291,0.354,6520000,0.336,23.3628
HK.02016,CZBANK,2.61,4.371,0.368,8421000,0.767,23.3376
HK.06066,CSC,10.37,10.308,0.897,7477500,1.064,23.200599999999998
HK.00363,SHANGHAI IND H,14.15,5.48,0.312,542042,0.461,23.1504
HK.01114,BRILLIANCE CHI,2.78,4.186,0.519,37250230,0.615,23.0658
HK.02666,UNI MEDICAL,5.79,4.881,0.546,5283500,0.768,23.0172
HK.00135,KUNLUN ENERGY,7.4,10.818,0.854,21232581,1.057,22.971999999999998
HK.06078,HYGEIA HEALTH,11.17,10.648,0.912,3377300,1.066,22.9696
HK.02858,YIXIN,2.18,11.122,0.788,14231898,1.145,22.9084
HK.00267,CITIC,12.05,5.576,0.418,12422172,0.558,22.902
HK.06806,SWHY,2.67,11.866,0.548,15336000,1.157,22.894
HK.00579,JNCEC,2.31,5.435,0.504,4988000,0.736,22.8318
HK.00999,XIAOCAIYUAN,7.29,10.832,3.175,2172800,1.897,22.785800000000002
HK.03866,BQD,4.24,5.36,0.567,1643000,0.747,22.7634
