code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.00881,ZHONGSHENG HLDG,7.93,5.412,0.359,18682439,1.786,31.1066
HK.03311,CHINA STATE CON,8.5,4.796,0.596,7461515,1.518,30.927200000000003
HK.00966,CHINA TAIPING,20.9,2.775,0.789,22772916,2.073,30.579799999999995
HK.06963,SUNSHINE INS,3.64,5.996,0.649,21765500,1.665,30.234199999999998
HK.02628,CHINA LIFE,24.96,4.135,1.07,139150829,2.143,30.073999999999998
HK.00392,BEIJING ENT,31.18,7.089,0.406,2273862,2.546,30.015800000000002
HK.02660,ZENGAME,2.36,6.344,0.854,1602000,2.587,29.656399999999994
HK.00855,CHINA WATER,4.87,7.367,0.575,3137201,1.511,29.5448
HK.01336,NCI,46.7,5.143,1.323,16707232,1.539,29.532799999999998
HK.00586,CONCH VENTURE,11.66,8.406,0.382,19072460,2.383,29.2688
HK.01908,C&D INTL GROUP,12.77,7.078,0.858,15452600,2.737,29.2088
HK.01600,TIAN LUN GAS,2.84,8.58,0.425,1121000,1.972,29.087
HK.02877,SHINEWAY PHARM,8.62,7.857,0.832,1415000,2.923,28.7882
HK.01126,DREAM INT'L,7.51,6.883,1.261,2066500,1.858,28.6004
HK.00546,FUFENG GROUP,8.32,8.353,0.969,4869000,1.879,28.243999999999996
HK.00956,CHINA SUNTIEN,4.15,9.263,0.704,15414000,1.758,28.175
HK.06889,DYNAM JAPAN,3.23,10.66,0.324,942800,1.548,28.0208
HK.03698,HUISHANG BANK,4.44,3.706,0.395,13662000,1.075,27.288999999999998
HK.01963,BCQ,7.8,4.328,0.445,1604000,1.412,27.198999999999998
HK.00639,SHOUGANG RES,3.1,10.58,0.995,17992766,1.61,26.861
HK.00107,SICHUAN EXPRESS,5.61,10.957,0.932,9518000,1.762,26.748199999999997
HK.03988,BANK OF CHINA,4.83,6.06,0.531,357052227,1.159,26.4082
HK.02156,C&D PROPERTY,2.63,9.326,1.666,2350000,2.781,26.4056
HK.02510,TS LINES,8.19,5.328,0.826,4503000,1.141,26.3164
HK.09979,GREENTOWN MGMT,2.04,4.711,1.035,4769610,1.294,26.136999999999997
HK.00590,LUK FOOK HOLD,22.96,12.258,0.989,2629178,1.642,25.865
HK.00152,SHENZHEN INT'L,8.05,6.851,0.592,36843663,6.17,25.823800000000002
HK.01065,TIANJIN CAPITAL,4.23,6.957,0.584,978000,1.034,25.774599999999996
HK.00506,CHINA FOODS,3.86,11.319,1.413,6346300,1.77,25.6652
HK.00517,COSCO SHIP INTL,6.35,12.072,1.172,8308000,2.896,25.647199999999998
HK.02688,ENN ENERGY,64.35,11.265,1.476,5149745,1.523,25.5842
HK.00552,CHINACOMSERVICE,4.15,7.384,0.564,10937057,1.101,25.554399999999998
HK.02209,YESASIA HLDGS,3.02,8.531,2.419,781000,2.198,25.5272
HK.03320,CHINARES PHARMA,5.33,7.475,0.588,85759679,3.577,25.456599999999998
HK.02601,CPIC,31.78,6.296,0.982,28457090,1.463,25.454800000000002
HK.00576,ZHEJIANGEXPRESS,7.14,7.256,0.798,11319360,1.355,25.21
HK.03918,NAGACORP,3.95,7.247,0.934,6013056,1.303,24.9706
HK.02649,ALSCO POOLING,3.78,7.875,0.763,938500,1.358,24.9016
HK.00874,BAIYUNSHAN PH,16.87,8.306,0.655,2792000,1.02,24.8374
HK.00548,SHENZHENEXPRESS,7.45,14.87,0.741,7994050,1.983,24.744200000000003
HK.06886,HTSC,15.19,8.273,0.727,9553845,1.018,24.7276
HK.00816,JINMAO SERVICES,2.5,6.578,1.306,1107000,1.097,24.702399999999997
HK.00799,IGG,3.56,7.021,1.179,12357471,6.23,24.6652
HK.00293,CATHAY PAC AIR,12.32,6.917,1.246,15579365,1.127,24.607
HK.00257,EB ENVIRONMENT,5.62,8.794,0.661,20949095,1.107,24.5338
HK.06100,TONGDAO LIEPIN,2.78,9.754,0.432,933400,1.229,24.37
HK.01052,YUEXIUTRANSPORT,4.07,9.599,0.517,5614865,4.812,24.31
HK.01066,WEIGAO GROUP,4.43,8.985,0.759,14519000,1.14,24.2428
HK.00710,BOE VARITRONIX,4.11,9.426,0.676,1872000,1.224,24.127599999999997
HK.02678,TEXHONG INTL GP,6.48,9.938,0.552,818000,1.162,24.043599999999998
HK.03888,KINGSOFT,23.8,15.015,1.156,25656414,2.189,23.9102
HK.02588,BOC AVIATION,77.95,8.83,1.016,1219372,1.335,23.8732
HK.00373,ALLIED GROUP,2.61,4.123,0.201,1050000,0.724,23.638199999999998
HK.00882,TIANJIN DEV,2.55,4.99,0.212,546000,0.698,23.6184
HK.01186,CHINA RAIL CONS,5.24,2.965,0.238,3859000,0.53,23.5716
HK.01800,CHINA COMM CONS,4.78,3.019,0.241,10933745,0.838,23.5662
HK.00995,ANHUIEXPRESSWAY,14.44,13.674,1.811,2744000,1.762,23.535800000000002
HK.01988,MINSHENG BANK,3.81,4.78,0.271,10596360,0.31,23.512199999999996
HK.00390,CHINA RAILWAY,4.11,3.368,0.293,17213000,0.377,23.4726
HK.00960,LONGFOR GROUP,8.04,5.04,0.312,12303470,0.865,23.4144
HK.06818,CEB BANK,3.24,4.251,0.351,6226000,0.327,23.368199999999998
HK.02016,CZBANK,2.57,4.304,0.363,7499000,0.701,23.3466
HK.00038,FIRST TRACTOR,8.56,9.661,1.119,5906598,1.488,23.1892
HK.00363,SHANGHAI IND H,14.2,5.499,0.314,511042,0.445,23.135399999999997
HK.01114,BRILLIANCE CHI,2.78,4.186,0.519,36442230,0.616,23.0658
