code,name,last_price,pe_ratio,pb_ratio,volume,volume_ratio,total_score
HK.01800,CHINA COMM CONS,4.72,2.981,0.238,16227223,1.928,31.5716
HK.01186,CHINA RAIL CONS,5.37,3.039,0.244,7456300,1.865,31.5608
HK.00579,JNCEC,2.32,5.858,0.494,7856000,1.643,30.595999999999997
HK.00939,CCB,8.18,5.704,0.558,258127544,1.522,30.5732
HK.01114,BRILLIANCE CHI,2.67,6.123,0.578,82391668,2.904,30.2858
HK.01811,CGN NEW ENERGY,2.6,5.79,0.804,9678000,1.61,30.0788
HK.00839,CHINA EDU GROUP,2.73,7.127,0.416,4697000,1.65,29.974999999999998
HK.00811,XINHUA WINSHARE,10.35,7.356,0.755,1301000,1.918,29.2274
HK.00640,INFINITY DEV,2.44,6.321,1.23,1314000,2.75,28.9934
HK.09890,TANWAN,15.37,4.884,1.734,1663400,2.415,28.878800000000002
HK.02580,AUX ELECTRIC,9.57,6.142,1.378,3181400,1.927,28.834400000000002
HK.00293,CATHAY PAC AIR,12.01,6.743,1.214,13377032,1.546,28.768999999999995
HK.00799,IGG,3.51,6.923,1.163,4896000,1.775,28.752799999999997
HK.06198,QINGDAO PORT,6.96,7.741,0.892,2159000,1.871,28.749799999999997
HK.00398,ORIENTAL WATCH,3.31,8.053,0.897,572000,1.537,28.5536
HK.00991,DATANG POWER,2.54,7.094,1.245,35808000,1.662,28.502599999999997
HK.03933,UNITED LAB,9.58,8.188,0.981,12160500,1.877,28.3214
HK.00013,HUTCHMED,22.86,5.608,2.07,4526000,1.659,27.909200000000002
HK.00921,HISENSE HA,19.75,7.564,1.475,1176000,2.308,27.806599999999996
HK.00373,ALLIED GROUP,2.74,4.328,0.211,786000,1.037,27.620199999999997
HK.02333,GWMOTOR,11.91,9.333,1.051,18077700,2.201,27.508399999999998
HK.01525,GENCH EDU,2.12,3.276,0.319,605500,17.408,27.4258
HK.01200,MIDLAND HOLDING,3.07,6.868,1.925,3224000,2.34,27.414199999999997
HK.00596,INSPUR DIGI ENT,3.01,8.852,1.278,6096000,1.996,27.3884
HK.00133,CHINA MERCHANTS,16.4,1.69,0.384,863188,16.336,27.308799999999998
HK.02209,YESASIA HLDGS,2.98,6.898,1.995,784000,2.993,27.2702
HK.00363,SHANGHAI IND H,13.91,5.387,0.307,719865,1.283,27.215199999999996
HK.01963,BCQ,7.99,4.433,0.456,1195500,1.377,27.179199999999998
HK.00267,CITIC,11.74,5.252,0.394,12079300,1.048,27.1396
HK.00819,TIANNENG POWER,7.32,5.18,0.43,9062000,1.27,27.118
