code,name,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_option_type,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude,overnight_price,overnight_high_price,overnight_low_price,overnight_volume,overnight_turnover,overnight_change_val,overnight_change_rate,overnight_amplitude
HK.00001,CKH HOLDINGS,2026-03-30 14:00:01,59.05,57.75,59.2,57.75,59.15,3444683,201914650.0,0.09,False,2015-03-18,500,0.05,,59.05,58.95,57500,35500,,,,,,,,2.451,58.616,2.376,0.693,66.5,35.226,147.137,-60.427,58.95,0,0.0,NORMAL,True,3830044500,226164127725.0,562771418652.0,11842497594.0,3.092,3830044500,226164127725.0,146.936,0.021,19.097,0.401,19.097,2.224,3.77,2.202,3.729,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00002,CLP HOLDINGS,2026-03-30 14:00:26,72.95,72.0,73.0,72.0,72.9,1401858,101874498.0,0.055,False,1970-01-01,500,0.05,,73.0,72.95,64000,9000,,,,,,,,1.372,72.671,-30.053,0.74,76.44,57.25,76.44,-61.256666668,72.95,0,0.0,NORMAL,True,2526450570,184304569081.5,107609109128.01,10467084711.51,4.143,2526450570,184304569081.5,42.593,0.097,17.608,1.712,17.608,3.2,4.39,3.2,4.386,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00003,HK & CHINA GAS,2026-03-30 13:59:35,7.09,7.03,7.1,7.01,7.09,18014961,127225521.0,0.097,False,1970-01-01,1000,0.01,,7.09,7.08,443000,213000,,,,,,,,1.269,7.062,25.076,1.063,7.76,5.97,14.155736936,-4.641139935,7.08,0,0.0,NORMAL,True,18659870098,132298478994.82,59357046781.738,5691260379.89,0.305,18659870098,132298478994.81999,3.181,0.095,23.245,2.228,23.245,0.35,4.94,0.35,4.936,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00005,HSBC HOLDINGS,2026-03-30 14:00:21,122.7,122.7,123.1,121.3,124.8,10137603,1238263340.0,0.059,False,1970-01-01,400,0.1,,122.7,122.6,35600,118800,,,,,,,,1.442,122.145,-3.45,0.819,144.47962,64.18398,144.47962,-84.861627654,122.7,0,0.0,NORMAL,True,17175239862,2107401931067.4,1381370191620.936,164212468320.582,9.561,17175239862,2107401931067.4001,80.428,0.118,12.833,1.525,12.833,5.893,4.8,5.893,4.802,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00006,POWER ASSETS,2026-03-30 13:56:29,61.1,61.0,61.25,60.55,61.1,1298311,79120414.0,0.061,False,1976-08-16,500,0.05,,61.15,61.05,44000,22500,,,,,,,,1.146,60.941,-13.033,0.815,64.65,42.78,64.65,-70.1225,61.05,0,0.0,NORMAL,True,2131105154,130210524909.4,90725408616.088,6235613680.604,2.926,2131105154,130210524909.40001,42.572,0.068,20.881,1.435,20.881,2.82,4.62,2.82,4.615,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00012,HENDERSON LAND,2026-03-30 13:59:59,29.02,29.0,29.58,28.58,29.84,12647845,366978880.0,0.261,False,1981-07-23,1000,0.02,,29.02,29.0,32000,37000,,,,,,,,3.351,29.015,2.619,1.332,35.66,17.8,35.66,-20.993088291,29.0,0,0.0,NORMAL,True,4841387003,140497050827.06,322465422721.818,5654740019.504,1.168,4841387003,140497050827.06,66.606,0.017,24.845,0.435,24.845,1.8,6.2,1.8,6.202,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00013,HUTCHMED,2026-03-30 14:00:21,23.02,21.6,23.1,21.46,21.88,5327000,120228450.0,0.611,False,2021-06-30,500,0.02,,23.04,23.0,67500,1000,,,,,,,,7.495,22.569,-14.461,1.785,30.75,18.36,85.8,11.36,22.96,0,0.0,NORMAL,True,872327620,20080981812.4,9633113907.66,3555607379.12,4.076,872327620,20080981812.4,11.043,0.369,5.647,2.084,5.647,0.0,0.0,0.0,0.0,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00016,SHK PPT,2026-03-30 13:59:59,127.7,126.3,128.3,125.7,128.8,2659514,338050098.0,0.092,False,1972-09-08,500,0.1,,127.7,127.6,17000,30500,,,,,,,,2.019,127.109,11.08,0.847,147.82,61.42,147.82,-73.37,127.6,0,0.0,NORMAL,True,2897780274,370046540989.8,621701371105.056,19276034382.648,6.652,2897780274,370046540989.8,214.544,0.035,19.197,0.595,16.82,3.78,2.96,3.75,2.936,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00023,BANK OF E ASIA,2026-03-30 13:53:07,13.16,13.3,13.3,13.0,13.35,582986,7652060.0,0.022,False,1970-01-01,200,0.01,,13.16,13.13,3400,400,,,,,,,,2.247,13.125,20.231,0.841,16.22,9.38,40.12454545,-18.057272726,0.0,0,0.0,NORMAL,True,2641671142,34764392228.72,105333995116.108,3500214263.15,1.325,2641671142,34764392228.72,39.874,0.033,9.932,0.33,9.932,0.609,4.63,0.609,4.627,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00027,GALAXY ENT,2026-03-30 14:00:00,34.54,35.0,35.0,34.1,35.44,6877602,237071902.0,0.157,False,1991-10-07,1000,0.02,,34.54,34.5,45000,14000,,,,,,,,2.54,34.47,16.535,1.176,44.22,23.1,77.8,-7.16,34.48,0,0.0,NORMAL,True,4379240712,151258974192.48,83144264158.032,10672209615.144,2.437,4379240712,151258974192.48,18.986,0.128,14.173,1.819,14.173,1.199,3.47,0.999,2.892,False,,N/A,,,,,,,,,,,,,,,,,,,N/A,,False,N/A,,,,,,,,,,,,,,,,N/A,,N/A,False,,,,False,,,,False,,,,,,False,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
